model,model_label,seed,environment_steps,eval_episode_reward
multirank_hodge_lower_w177,Hodge-L,12,137625600,25.277626037597656
multirank_hodge_lower_w177,Hodge-L,12,160563200,26.00957489013672
multirank_hodge_lower_w177,Hodge-L,12,183500800,25.32053565979004
multirank_hodge_lower_w177,Hodge-L,12,206438400,25.757648468017578
multirank_hodge_lower_w177,Hodge-L,12,229376000,26.13872528076172
multirank_hodge_lower_w177,Hodge-L,12,252313600,25.999433517456055
multirank_hodge_lower_w177,Hodge-L,12,275251200,26.55583953857422
multirank_hodge_lower_w177,Hodge-L,12,298188800,26.501190185546875
multirank_hodge_lower_w177,Hodge-L,12,321126400,26.304603576660156
multirank_hodge_lower_w177,Hodge-L,12,344064000,26.853071212768555
multirank_hodge_lower_w177,Hodge-L,12,367001600,26.344017028808594
multirank_hodge_lower_w177,Hodge-L,12,389939200,26.772958755493164
multirank_hodge_lower_w177,Hodge-L,12,412876800,26.422103881835938
multirank_hodge_lower_w177,Hodge-L,13,0,5.105058335175272e-06
multirank_hodge_lower_w177,Hodge-L,13,22937600,10.591358184814453
multirank_hodge_lower_w177,Hodge-L,13,45875200,17.68238639831543
multirank_hodge_lower_w177,Hodge-L,13,68812800,19.587308883666992
multirank_hodge_lower_w177,Hodge-L,13,91750400,21.93515396118164
multirank_hodge_lower_w177,Hodge-L,13,114688000,23.2374267578125
multirank_hodge_lower_w177,Hodge-L,13,137625600,24.398983001708984
multirank_hodge_lower_w177,Hodge-L,13,160563200,24.483291625976562
multirank_hodge_lower_w177,Hodge-L,13,183500800,25.036531448364258
multirank_hodge_lower_w177,Hodge-L,13,206438400,25.352584838867188
multirank_hodge_lower_w177,Hodge-L,13,229376000,25.301067352294922
multirank_hodge_lower_w177,Hodge-L,13,252313600,26.29656410217285
multirank_hodge_lower_w177,Hodge-L,13,275251200,25.83605194091797
multirank_hodge_lower_w177,Hodge-L,13,298188800,26.479801177978516
multirank_hodge_lower_w177,Hodge-L,13,321126400,25.619972229003906
multirank_hodge_lower_w177,Hodge-L,13,344064000,26.527236938476562
multirank_hodge_lower_w177,Hodge-L,13,367001600,26.208335876464844
multirank_hodge_lower_w177,Hodge-L,13,389939200,26.705364227294922
multirank_hodge_lower_w177,Hodge-L,13,412876800,26.847259521484375
multirank_hodge_full_w150,Hodge-F,11,0,0.0
multirank_hodge_full_w150,Hodge-F,11,22937600,14.086105346679688
multirank_hodge_full_w150,Hodge-F,11,45875200,20.93698501586914
multirank_hodge_full_w150,Hodge-F,11,68812800,23.25592803955078
multirank_hodge_full_w150,Hodge-F,11,91750400,24.17592430114746
