model,model_label,seed,environment_steps,eval_episode_reward
multirank_hodge_lower_w177,Hodge-L,11,229376000,13.131807327270508
multirank_hodge_lower_w177,Hodge-L,11,252313600,13.012303352355957
multirank_hodge_lower_w177,Hodge-L,11,275251200,12.767027854919434
multirank_hodge_lower_w177,Hodge-L,11,298188800,13.789533615112305
multirank_hodge_lower_w177,Hodge-L,11,321126400,13.079374313354492
multirank_hodge_lower_w177,Hodge-L,11,344064000,13.577617645263672
multirank_hodge_lower_w177,Hodge-L,11,367001600,14.117823600769043
multirank_hodge_lower_w177,Hodge-L,11,389939200,14.221811294555664
multirank_hodge_lower_w177,Hodge-L,11,412876800,14.857341766357422
multirank_hodge_lower_w177,Hodge-L,12,0,0.0006320973625406623
multirank_hodge_lower_w177,Hodge-L,12,22937600,4.211410045623779
multirank_hodge_lower_w177,Hodge-L,12,45875200,7.557554244995117
multirank_hodge_lower_w177,Hodge-L,12,68812800,7.469290733337402
multirank_hodge_lower_w177,Hodge-L,12,91750400,9.406551361083984
multirank_hodge_lower_w177,Hodge-L,12,114688000,9.870973587036133
multirank_hodge_lower_w177,Hodge-L,12,137625600,9.845172882080078
multirank_hodge_lower_w177,Hodge-L,12,160563200,10.75075626373291
multirank_hodge_lower_w177,Hodge-L,12,183500800,10.141767501831055
multirank_hodge_lower_w177,Hodge-L,12,206438400,11.078191757202148
multirank_hodge_lower_w177,Hodge-L,12,229376000,10.629859924316406
multirank_hodge_lower_w177,Hodge-L,12,252313600,10.079771041870117
multirank_hodge_lower_w177,Hodge-L,12,275251200,10.103099822998047
multirank_hodge_lower_w177,Hodge-L,12,298188800,11.171661376953125
multirank_hodge_lower_w177,Hodge-L,12,321126400,10.651002883911133
multirank_hodge_lower_w177,Hodge-L,12,344064000,10.766400337219238
multirank_hodge_lower_w177,Hodge-L,12,367001600,9.628045082092285
multirank_hodge_lower_w177,Hodge-L,12,389939200,10.284932136535645
multirank_hodge_lower_w177,Hodge-L,12,412876800,11.42913818359375
multirank_hodge_lower_w177,Hodge-L,13,0,0.00017583866429049522
multirank_hodge_lower_w177,Hodge-L,13,22937600,5.0192670822143555
multirank_hodge_lower_w177,Hodge-L,13,45875200,9.316904067993164
multirank_hodge_lower_w177,Hodge-L,13,68812800,9.30772876739502
multirank_hodge_lower_w177,Hodge-L,13,91750400,9.355755805969238
multirank_hodge_lower_w177,Hodge-L,13,114688000,11.3922758102417
multirank_hodge_lower_w177,Hodge-L,13,137625600,11.011907577514648
multirank_hodge_lower_w177,Hodge-L,13,160563200,10.732778549194336
multirank_hodge_lower_w177,Hodge-L,13,183500800,10.51222038269043
multirank_hodge_lower_w177,Hodge-L,13,206438400,10.04176139831543
multirank_hodge_lower_w177,Hodge-L,13,229376000,10.9715576171875
multirank_hodge_lower_w177,Hodge-L,13,252313600,10.104944229125977
multirank_hodge_lower_w177,Hodge-L,13,275251200,10.855743408203125
multirank_hodge_lower_w177,Hodge-L,13,298188800,10.90322208404541
multirank_hodge_lower_w177,Hodge-L,13,321126400,10.307299613952637
multirank_hodge_lower_w177,Hodge-L,13,344064000,11.260956764221191
multirank_hodge_lower_w177,Hodge-L,13,367001600,11.626419067382812
multirank_hodge_lower_w177,Hodge-L,13,389939200,11.384918212890625
multirank_hodge_lower_w177,Hodge-L,13,412876800,11.192427635192871
multirank_hodge_full_w150,Hodge-F,11,0,5.883213452761993e-05
multirank_hodge_full_w150,Hodge-F,11,22937600,4.741636753082275
multirank_hodge_full_w150,Hodge-F,11,45875200,8.6491117477417
multirank_hodge_full_w150,Hodge-F,11,68812800,10.229866027832031
multirank_hodge_full_w150,Hodge-F,11,91750400,10.219467163085938
multirank_hodge_full_w150,Hodge-F,11,114688000,11.843213081359863
multirank_hodge_full_w150,Hodge-F,11,137625600,12.685635566711426
multirank_hodge_full_w150,Hodge-F,11,160563200,12.464184761047363
multirank_hodge_full_w150,Hodge-F,11,183500800,12.448700904846191
multirank_hodge_full_w150,Hodge-F,11,206438400,12.889760971069336
multirank_hodge_full_w150,Hodge-F,11,229376000,13.730013847351074
multirank_hodge_full_w150,Hodge-F,11,252313600,13.467641830444336
multirank_hodge_full_w150,Hodge-F,11,275251200,13.721602439880371
multirank_hodge_full_w150,Hodge-F,11,298188800,14.291007041931152
multirank_hodge_full_w150,Hodge-F,11,321126400,13.88836669921875
multirank_hodge_full_w150,Hodge-F,11,344064000,14.313672065734863
multirank_hodge_full_w150,Hodge-F,11,367001600,14.043067932128906
multirank_hodge_full_w150,Hodge-F,11,389939200,14.746935844421387
multirank_hodge_full_w150,Hodge-F,11,412876800,15.259775161743164
multirank_hodge_full_w150,Hodge-F,12,0,0.0005192774697206914
multirank_hodge_full_w150,Hodge-F,12,22937600,5.910336494445801
multirank_hodge_full_w150,Hodge-F,12,45875200,7.563726425170898
multirank_hodge_full_w150,Hodge-F,12,68812800,9.235370635986328
multirank_hodge_full_w150,Hodge-F,12,91750400,10.598834991455078
multirank_hodge_full_w150,Hodge-F,12,114688000,11.628841400146484
multirank_hodge_full_w150,Hodge-F,12,137625600,11.768363952636719
multirank_hodge_full_w150,Hodge-F,12,160563200,13.031495094299316
multirank_hodge_full_w150,Hodge-F,12,183500800,12.603477478027344
multirank_hodge_full_w150,Hodge-F,12,206438400,12.721285820007324
multirank_hodge_full_w150,Hodge-F,12,229376000,12.973369598388672
multirank_hodge_full_w150,Hodge-F,12,252313600,12.227823257446289
multirank_hodge_full_w150,Hodge-F,12,275251200,13.279170989990234
multirank_hodge_full_w150,Hodge-F,12,298188800,14.160120010375977
multirank_hodge_full_w150,Hodge-F,12,321126400,14.630413055419922
multirank_hodge_full_w150,Hodge-F,12,344064000,13.79373550415039
multirank_hodge_full_w150,Hodge-F,12,367001600,13.740928649902344
multirank_hodge_full_w150,Hodge-F,12,389939200,14.08568286895752
multirank_hodge_full_w150,Hodge-F,12,412876800,15.11345100402832
multirank_hodge_full_w150,Hodge-F,13,0,0.00033029349287971854
multirank_hodge_full_w150,Hodge-F,13,22937600,2.931680679321289
multirank_hodge_full_w150,Hodge-F,13,45875200,6.579592704772949
multirank_hodge_full_w150,Hodge-F,13,68812800,10.19826889038086
multirank_hodge_full_w150,Hodge-F,13,91750400,11.163862228393555
multirank_hodge_full_w150,Hodge-F,13,114688000,12.337535858154297
multirank_hodge_full_w150,Hodge-F,13,137625600,12.838258743286133
multirank_hodge_full_w150,Hodge-F,13,160563200,13.008793830871582
multirank_hodge_full_w150,Hodge-F,13,183500800,13.223188400268555
multirank_hodge_full_w150,Hodge-F,13,206438400,13.060789108276367
multirank_hodge_full_w150,Hodge-F,13,229376000,13.610991477966309
multirank_hodge_full_w150,Hodge-F,13,252313600,13.942618370056152
multirank_hodge_full_w150,Hodge-F,13,275251200,13.375650405883789
multirank_hodge_full_w150,Hodge-F,13,298188800,14.517417907714844
multirank_hodge_full_w150,Hodge-F,13,321126400,12.99429988861084
multirank_hodge_full_w150,Hodge-F,13,344064000,14.33824634552002
multirank_hodge_full_w150,Hodge-F,13,367001600,13.692957878112793
multirank_hodge_full_w150,Hodge-F,13,389939200,14.593855857849121
multirank_hodge_full_w150,Hodge-F,13,412876800,14.532783508300781
